variable,type,num_values,num_unique_values,num_nulls,proportion_nulls,min_length,max_length,min,max,mean,median,stddev
median_01Q4,Numeric,34756,4661,423,0.012170560478766256,,,7875.0,2300000.0,111392.65091894096,92500.0,80966.05553510488
median_02Q1,Numeric,34756,4686,596,0.017148118310507537,,,2500.0,2140000.0,114204.1386709602,95000.0,84174.20033361719
median_02Q2,Numeric,34756,4683,373,0.01073195994936126,,,7250.0,1900000.0,121177.01681063315,104725.0,82796.51519568401
median_02Q3,Numeric,34756,4927,315,0.009063183335251468,,,4000.0,1687000.0,130777.56085769867,115000.0,87097.80063244072
median_02Q4,Numeric,34756,4911,321,0.009235815398780066,,,9750.0,4719900.0,136475.86182662987,121475.0,91426.41427485886
median_03Q1,Numeric,34756,4968,538,0.015479341696397744,,,10000.0,3204900.0,141150.4637471506,125000.0,97683.71575646248
median_03Q2,Numeric,34756,4875,441,0.012688456669352054,,,9625.0,2224950.0,145728.14871047647,129950.0,95575.22553023876
median_03Q3,Numeric,34756,4658,273,0.007854758890551271,,,10000.0,2243500.0,150894.85286952992,135000.0,93698.93181976458
median_03Q4,Numeric,34756,4646,274,0.007883530901139371,,,10320.0,1800000.0,154442.7131546894,138500.0,90586.55727157567
median_04Q1,Numeric,34756,4771,396,0.011393716192887558,,,10000.0,2635000.0,158003.58853317812,141000.0,96543.52271955289
median_04Q2,Numeric,34756,4823,261,0.007509494763494073,,,11783.0,2734500.0,166268.07382229308,149950.0,95161.79865695431
median_04Q3,Numeric,34756,4750,248,0.007135458625848775,,,10000.0,1775000.0,174853.2453199258,157750.0,96324.93146460764
median_04Q4,Numeric,34756,4734,516,0.014846357463459546,,,10000.0,2500000.0,176289.34989778037,158000.0,101196.33067312837
median_05Q1,Numeric,34756,4454,1118,0.032167107837495684,,,10000.0,2837500.0,176185.82834889114,155750.0,106029.90382708589
median_05Q2,Numeric,34756,4459,515,0.014817585452871446,,,17951.0,2133000.0,176846.81348383517,157475.0,99320.59994553411
median_05Q3,Numeric,34756,4443,297,0.008545287144665669,,,12000.0,3700000.0,179951.05341130038,159995.0,101383.2363998646
median_05Q4,Numeric,34756,4496,301,0.008660375187018069,,,14000.0,3425000.0,179508.37189087216,160000.0,100095.50423647833
median_06Q1,Numeric,34756,4369,425,0.012228104499942456,,,7000.0,3100000.0,180341.37604497393,159500.0,103867.16459525026
median_06Q2,Numeric,34756,4589,256,0.007365634710553574,,,17500.0,3400000.0,185619.27891304347,164100.0,102688.761389994
median_06Q3,Numeric,34756,4672,188,0.005409137990562781,,,14560.0,3066250.0,191199.76643138163,168750.0,106332.26273088415
median_06Q4,Numeric,34756,4764,173,0.004977557831741282,,,16960.0,2019500.0,193064.11184686117,170000.0,105704.844085238
median_07Q1,Numeric,34756,4765,262,0.0075382667740821726,,,15000.0,2600000.0,196739.37403606426,171000.0,115433.18257416117
median_07Q2,Numeric,34756,4963,196,0.00563931407526758,,,7500.0,3750000.0,202897.6203269676,176250.0,121191.24329468657
median_07Q3,Numeric,34756,4782,138,0.003970537461157786,,,20280.0,5267500.0,210236.4199404934,180000.0,133159.51684118662
