lsoa11,no2,pm10,so2
E01029639,12.13678651,13.91747043,1.55383023
E01029640,11.9584503,13.70487394,1.565602812
E01029641,11.72140639,13.68443137,1.61283218
E01029642,11.68761852,13.64121898,1.676545345
E01029643,12.10117982,13.99637234,1.57527158
E01029644,11.7885749,13.68078394,1.681936143
E01029645,10.63691367,13.01902511,1.333079378
E01029646,9.556474304,12.77545776,1.32934227
E01029647,10.30621505,13.17592287,1.405825526
E01029648,10.56372506,12.84445792,1.392760666
E01029649,9.454039325,12.69448971,1.320696634
E01029650,8.200997591,12.25659103,1.253577304
E01029651,9.386250328,12.68470916,1.283745128
E01029652,9.932939734,12.78291253,1.326879527
E01029653,8.962203736,12.51118156,1.303877601
E01029654,8.056117422,12.66909913,1.171117544
E01029655,9.427812713,13.10746111,1.354281391
E01029656,8.879264571,12.78968063,1.234676376
E01029657,9.653094235,13.13963604,1.333894758
E01029658,9.941860326,13.07842897,1.375134945
E01029659,9.519793087,13.19877311,1.403521914
E01029660,8.621596336,12.6048676,1.199520742
E01029661,8.925805537,12.67172775,1.20031813
E01029662,10.54713351,12.73492455,1.269546484
E01029663,9.755485505,12.69561784,1.238509351
E01029664,10.8687373,12.78945047,1.284680318
E01029665,9.688683421,12.6630302,1.238592624
E01029666,10.8967615,12.76044455,1.287806379
E01029667,8.369029318,12.55790277,1.20807524
E01029668,8.438771702,12.58555739,1.177710522
E01029669,8.042376041,12.48356628,1.148364484
E01029670,7.815758931,12.50909341,1.145606245
E01029671,11.37464701,13.10998425,1.373007748
E01029672,10.1190797,12.89426602,1.272099879
E01029673,11.64213037,13.1181314,1.378503412
E01029674,10.64787143,12.95501074,1.329290013
E01029675,10.86033736,13.03679159,1.350930699
E01029676,11.39527324,13.11509476,1.375611628
E01029677,11.07623434,13.08099552,1.363498938
E01029678,10.52449212,12.93199061,1.33284984
E01029679,10.87983503,13.04167226,1.352227875
E01029680,10.64811158,12.98580747,1.338668392
E01029681,9.085109472,12.05784726,1.215716586
E01029682,8.88768959,12.20146751,1.203065574
E01029683,8.556772118,12.17507477,1.193519869
E01029684,9.47148866,12.58296233,1.272755297
E01029685,9.423441475,12.57440291,1.267501556
E01029686,9.420547369,12.56736031,1.276548387
E01029687,8.350150406,12.14142873,1.1710347
E01029688,7.856000024,12.40178219,1.135519495
E01029689,9.650000041,12.79529896,1.304213996
E01029690,9.312720617,12.73547268,1.267502904
E01029691,9.865379955,12.89523138,1.32662363
E01029692,9.826833029,12.83078282,1.331521804
E01029693,9.639943436,12.73834043,1.317036736
E01029694,9.725565355,12.80832907,1.320064485
E01029695,7.899983931,12.31590381,1.135206419
E01029696,6.983869654,11.9065514,1.079272187
E01029697,7.488003498,12.00703642,1.112874461
E01029698,7.432877575,12.14916529,1.134323903
E01029699,10.03181915,12.88805743,1.342868404
E01029700,9.79428259,12.73359209,1.322328345
E01029701,10.06739418,12.96212065,1.344895011
E01029702,8.858232827,12.32080896,1.306304099
E01029703,8.439193832,11.91208055,1.225954824
E01029704,8.781258499,12.02415684,1.244819521
E01029705,8.69433403,12.09075308,1.264594167
E01029706,7.497724886,12.43176149,1.114473493
E01029707,7.707654988,12.38904694,1.143481799
E01029708,7.246099949,12.24012396,1.123864566
E01029709,7.636500359,12.27932262,1.154286861
E01029710,9.221149445,12.2811203,1.215007663
E01029711,8.997747498,12.24372952,1.207048302
E01029712,8.765980857,12.22755527,1.192739044
E01029713,9.094526798,12.31408974,1.214369122
E01029714,9.287588995,13.02335061,1.28587235
E01029715,9.249419512,13.11104695,1.275638992
E01029716,8.900616415,13.04427332,1.252166321
E01029717,9.409052374,13.09522217,1.283348997
E01029718,9.032727053,12.5801962,1.232192223
E01029719,8.775926113,12.81218981,1.227996778
E01029720,9.504730247,12.74873085,1.286600465
E01029721,9.460280594,12.80131375,1.284516608
E01029722,10.02462895,12.85984404,1.348769133
E01029723,9.717264678,12.69196254,1.328841059
E01029724,9.492599706,12.65590636,1.306289627
E01029725,9.898766034,12.8573664,1.336291354
E01029726,9.345603453,13.05367951,1.255958018
E01029727,9.601792101,12.9784387,1.290675233
E01029728,9.54258145,13.01903695,1.285980741
E01029729,9.445559315,12.90352818,1.267470744
E01029730,8.876776695,12.31052653,1.232330137
E01029731,9.144130345,12.42741192,1.251673679
E01029732,9.076791457,12.4227453,1.250344119
E01029733,8.277514034,12.00119271,1.178764599
E01029734,9.797273695,12.83109468,1.309979258
E01029735,9.465337276,13.05130005,1.272262216
E01029736,8.649176598,12.98179563,1.229959567
E01029737,9.690254879,12.99086542,1.313922855
E01029738,9.51282271,13.01289411,1.304460245
E01029739,8.545763146,12.05568468,1.192048393
E01029740,8.80349736,12.19722348,1.214201161
E01029741,8.682603159,12.13221156,1.191342099
E01029742,7.720712606,12.36366121,1.173718473
E01029743,8.186699764,12.46245861,1.170772242
E01029744,9.127953523,12.3918112,1.235857179
E01029745,9.218753338,12.4800725,1.24164021
E01029746,9.03091383,12.31973648,1.224002123
E01029747,8.082336426,12.4016099,1.152110696
E01029748,8.682637024,12.37594299,1.167840469
E01029749,8.174865971,12.36997016,1.153698154
E01029750,8.81084919,12.78138161,1.226550221
E01029751,9.236993512,12.79302713,1.265172603
E01029752,9.109267935,12.8078042,1.253369268
E01029753,9.172911608,12.51277472,1.237913284
E01029754,8.770898342,12.48371744,1.198749542
E01029755,8.947712519,12.4562518,1.212672472
E01029756,9.182427754,12.50271354,1.237856174
E01029757,9.271216605,12.62740687,1.2508564
